hotelname,location,description,rating,location_splitted,city
Aquabella Hôtel & Spa,"Centre historique d'Aix-en-Provence, Aix-en-Provence","Entouré d'un magnifique jardin, l'Aquabella propose des chambres de style provençal ainsi qu'un accès gratuit au spa. Il est situé dans le cent..",8.4,Aix-en-Provence,Aix en Provence
Renaissance Aix-en-Provence Hotel,Aix-en-Provence,"Situé à moins de 10 minutes à pied du centre d'Aix-en-Provence, le Renaissance Aix-en-Provence Hotel propose une réception ouverte 24h/24, des ..",8.2,Aix-en-Provence,Aix en Provence
Aparthotel Adagio Aix-en-Provence Centre,Aix-en-Provence,"L'Aparthotel Adagio Aix-en-Provence Centre se situe dans une rue paisible du centre de la commune d'Aix-en-Provence, à 10 minutes à pied des ca..",8.4,Aix-en-Provence,Aix en Provence
Hôtel des Augustins,"Centre historique d'Aix-en-Provence, Aix-en-Provence","Situé à côté du célèbre cours Mirabeau, au cœur de la vieille ville d'Aix-en-Provence, l'Hôtel Les Augustins se trouve dans les murs d'un couve..",8.1,Aix-en-Provence,Aix en Provence
Hôtel Cézanne Boutique-Hôtel,Aix-en-Provence,"L’Hôtel Cézanne Boutique-Hôtel, situé dans le centre d’Aix-en-Provence, propose 55 chambres. L’établissement possède également une terrasse et ..",8.1,Aix-en-Provence,Aix en Provence
Hôtel Escaletto,"Centre historique d'Aix-en-Provence, Aix-en-Provence","L'Hôtel Escaletto est un établissement 3 étoiles situé dans le centre d'Aix-en-Provence, à 1 minute à pied des thermes Sextius et à 550 mètres ..",8.3,Aix-en-Provence,Aix en Provence
Hôtel Le Mozart,Aix-en-Provence,"Situé à 500 mètres du musée Granet, l'Hôtel Le Mozart propose des chambres climatisées avec connexion Wi-Fi gratuite. Il est facilement accessi..",8.4,Aix-en-Provence,Aix en Provence
Les Quatre Dauphins,"Centre historique d'Aix-en-Provence, Aix-en-Provence","L'établissement Les Quatre Dauphins occupe un ancien hôtel particulier au cœur d'Aix-en-Provence, à seulement 50 mètres de la place des Quatre ..",8.2,Aix-en-Provence,Aix en Provence
Golden Tulip Aix en Provence,Aix-en-Provence,Le Golden Tulip Aix en Provence est situé à la sortie des autoroutes A8 et A51. Il est implanté à seulement 10 minutes de route du centre d'Aix..,8.0,Aix-en-Provence,Aix en Provence
Hôtel Rotonde,Aix-en-Provence,"L'Hôtel Rotonde est situé dans le centre d'Aix-en-Provence, à 5 minutes à pied de la gare SNCF. ",8.1,Aix-en-Provence,Aix en Provence
La Maison d'Uzès Relais & Châteaux,Uzès,"Située dans le centre de la vieille ville d'Uzès, La Maison d'Uzès Relais & Châteaux se situe dans un bâtiment classé et propose un hammam ains..",8.2,Uzès,Uzes
Boutique Hôtel Entraigues,Uzès,"Doté d’une piscine extérieure, le Boutique Hôtel Entraigues vous accueille à Uzès, dans le Languedoc-Roussillon, à 32 km d’Avignon. Il possède ..",8.8,Uzès,Uzes
Hostellerie Provençale,Uzès,"En séjournant dans le centre d'Uzès, vous pourrez pleinement apprécier les charmes de cet hôtel typiquement provençal. L'Hostellerie Provençale..",8.7,Uzès,Uzes
Patio De Violette,Uzès,"Situé dans la campagne du Languedoc-Roussillon, le Patio De Violette se trouve à 2 minutes de route de la ville d'Uzès. ",8.6,Uzès,Uzes
Hôtel Le Saint-Geniès,Uzès,"Cet hôtel à la gestion familiale est situé au cœur d'un jardin, dans un quartier résidentiel paisible à 1,5 km du centre historique d'Uzès. ",8.8,Uzès,Uzes
Les Appartements du Vieux Port,"Vieux Port - La Canebière, Marseille","Situé dans le centre-ville de Marseille, l'établissement Les Appartements du Vieux Port propose des hébergements dotés d'une connexion Wi-Fi gr..",9.5,Marseille,Marseille
Maison Juste,"Castellane et Préfecture, Marseille","Située à Marseille, à proximité de la rue Saint-Ferréol, de la station de métro Vieux Port et de la station de métro Castellane, la Maison Just..",9.0,Marseille,Marseille
Hotel C2,"Vieux Port - La Canebière, Marseille","Situé sur le cours Pierre Puget à Marseille, l’Hotel C2 occupe une demeure de caractère du XIXe siècle dotée d’un piano à queue. ",8.9,Marseille,Marseille
Le Couvent Marseille,"Vieux Port - La Canebière, Marseille","Situé à Marseille, à proximité du musée des civilisations de l'Europe et de la Méditerranée, de la station de métro Vieux Port et de la station..",8.9,Marseille,Marseille
Suite privée du balcon du vieux port Marseille,"Vieux Port - La Canebière, Marseille",Hébergement géré par un particulier,9.7,Marseille,Marseille
La Résidence Du Vieux Port,"Vieux Port - La Canebière, Marseille","L'établissement La Residence Du Vieux Port vous accueille sur les quais du Vieux-Port, dans le centre de Marseille. ",8.7,Marseille,Marseille
"InterContinental Marseille - Hotel Dieu, an IHG Hotel","Vieux Port - La Canebière, Marseille","Situé dans le quartier historique de Marseille, l'InterContinental Marseille - Hotel Dieu occupe un superbe bâtiment du XVIIIe siècle à 350 mèt..",8.3,Marseille,Marseille
Appart hôtel Maison Montgrand-Vieux Port,"Vieux Port - La Canebière, Marseille","Offrant une vue sur la ville, l'Appart hôtel Maison Montgrand-Vieux Port est situé à Marseille. Il propose un restaurant, une réception ouverte..",8.5,Marseille,Marseille
NH Collection Marseille,"Vieux Port - La Canebière, Marseille","Doté d'un bar à cocktails, d'un jardin et d'une salle de sport au 6ème étage, le NH Collection Marseille vous accueille à La Joliette, le nouve..",8.5,Marseille,Marseille
Grand Hotel Beauvau Marseille Vieux Port - MGallery,"Vieux Port - La Canebière, Marseille",Le Grand Hotel Beauvau Marseille Vieux Port - MGallery vous accueille dans un élégant hôtel 4 étoiles situé dans le centre de Marseille. ,8.6,Marseille,Marseille
