hotelname,location,description,rating,location_splitted,city
Mas de Boudan,Nîmes,"Situé à 3 km de la salle omnisports Nîmes Arena, le Mas de Boudan est un hôtel de caractère doté de 2 restaurants, le Bistr'Au et le Restaurant..",9.1,Nîmes,Nimes
Maison Albar Hotels L’Imperator,"Nimes City Centre, Nîmes","La Maison Albar Hotels L’Imperator est un hôtel de luxe situé dans la ville de Nîmes, en bordure du jardin de la Fontaine et à moins de 5 minut..",8.8,Nîmes,Nimes
Appart'City Confort Nimes Arenes,Nîmes,"L'Appart'City Confort Nîmes Arenes est situé dans le centre historique de Nîmes, à 1 minute à pied des arènes, à 300 mètres de la gare et à pro..",8.6,Nîmes,Nimes
SQUARE HOTEL,Nîmes,"Doté d'une terrasse, le SQUARE HOTEL est situé à Nîmes, en Occitanie, à 13 km du parc des expositions et à 34 km de l'amphithéâtre d'Arles. ",8.8,Nîmes,Nimes
Twenty's Business Flats Nîmes Trigone,Nîmes,"Situé à Nîmes, le Twenty's Business Flats Nîmes Trigone propose un hébergement à 13 km du parc des expositions et à 34 km de l'amphithéâtre d'A..",8.1,Nîmes,Nimes
Hotel Majestic,Nîmes,"Rénové en 2019, l'Hotel Majestic est situé à Nîmes, à seulement 320 mètres des arènes et du centre-ville de Nîmes. ",8.4,Nîmes,Nimes
ibis Styles Nimes Gare Centre,Nîmes,"Situé en face de la gare de Nîmes, cet hôtel propose des chambres abordables dotées d'une connexion Wi-Fi gratuite et de la télévision par sate..",8.3,Nîmes,Nimes
Royal Hôtel,"Nimes City Centre, Nîmes","Situé au cœur de Nîmes, le Royal Hôtel dispose d'un restaurant sur place, La Bodéguita, qui s'ouvre sur la place Assas. ",8.1,Nîmes,Nimes
Hôtel De L'Amphithéâtre,"Nimes City Centre, Nîmes","Situé dans la zone piétonne du centre historique de Nîmes, l'Hôtel De L'Amphithéâtre est composé de 2 hôtels particuliers datant des XVIIe et X..",8.3,Nîmes,Nimes
Hotel Des Tuileries,Nîmes,"L'Hôtel des Tuileries se trouve à proximité du centre de Nîmes, à proximité des célèbres arènes de Nîmes et à 5 minutes à pied du tribunal de p..",8.2,Nîmes,Nimes
Les Roches Brunes,Collioure,"Situé à Collioure, à 70 mètres de la plage de Balette, l'établissement Les Roches Brunes propose un restaurant, un parking privé gratuit, un ba..",9.1,Collioure,Collioure
Hôtel La Casa Pairal,Collioure,"Situé à 250 mètres de la plage et du port de Collioure, l’Hôtel La Casa Pairal propose un jardin fleuri exotique et une piscine extérieure chau..",8.8,Collioure,Collioure
Le Relais Des Trois Mas,Collioure,"Doté d'une terrasse avec piscine donnant sur la mer Méditerranée, l'établissement Le Relais Des Trois Mas propose un hébergement confortable da..",8.7,Collioure,Collioure
Le Madeloc Hôtel & Spa,Collioure,"Situé à 500 mètres du centre-ville de Collioure et à 10 minutes à pied de la plage, l'hôtel Madeloc propose une piscine extérieure chauffée ouv..",8.8,Collioure,Collioure
La Frégate,Collioure,"Installé à Collioure, à 150 mètres de la plage de Boramar, L’établissement La Frégate vous propose un restaurant, un bar et un salon commun. ",8.2,Collioure,Collioure
Le Mas des Citronniers,Collioure,"Situé dans le centre de Collioure, à seulement 250 mètres de la plage, le Mas des Citronniers propose des chambres climatisées dans un bâtiment..",8.0,Collioure,Collioure
Hotel Le Bon Port,Collioure,"Situé à quelques mètres du moulin à vent de La Cortina, l’Hotel Le Bon Port surplombe élégamment la mer et la baie de Collioure, son château ro..",8.1,Collioure,Collioure
Hôtel & Spa Les Mouettes,Argelès-sur-Mer,"L'Hôtel & Spa Les Mouettes est un établissement respectueux de l'environnement, installé au pied des Pyrénées, entre Argelès-sur-Mer et Colliou..",8.6,Argelès-sur-Mer,Collioure
Les Jardins Du Cèdre,Port-Vendres,"L'établissement Les Jardins du Cèdre est situé dans la ville portuaire de Port-Vendres. Il possède une piscine extérieure, une terrasse bien ex..",8.0,Port-Vendres,Collioure
Le Fanal,Argelès-sur-Mer,"L'hôtel-restaurant Le Fanal vous accueille à seulement 4 km du centre-ville d'Argelès-sur-Mer, à 50 mètres de la plage et à 500 mètres du port...",8.6,Argelès-sur-Mer,Collioure
Grand Hotel Du Golfe,Argelès-sur-Mer,"Situé sur la Corniche, le Grand Hotel Du Golfe est un hôtel design 4 étoiles datant des années 1970, à seulement 5 minutes à pied des calanques..",8.0,Argelès-sur-Mer,Collioure
Hotel Sur Le Quai,Port-Vendres,"Situé à Port-Vendres, à moins de 1 km de la plage d'Oli, l'Hotel Sur Le Quai dispose d'un salon commun, de chambres pour les personnes souffran..",8.0,Port-Vendres,Collioure
Hôtel Le Parc - La Table de Franck Putelat,Carcassonne,L'Hôtel Le Parc - La Table de Franck Putelat occupe un parc de 600 m² à 500 mètres du cœur médiéval de Carcassonne. ,9.3,Carcassonne,Carcassonne
Hotel de la Cité & Spa MGallery,"Cité de Carcassonne, Carcassonne",L’Hotel de la Cité & Spa MGallery vous accueille dans un château de style médiéval situé à l’intérieur des remparts de Carcassonne. ,8.9,Carcassonne,Carcassonne
Hotel Pont Levis - Franck Putelat,Carcassonne,"Situé à seulement 50 mètres de l'entrée principale de la cité médiévale de Carcassonne, le Pont Levis Hotel - Franck Putelat, hôtel moderne, of..",8.9,Carcassonne,Carcassonne
Hotel Du Pont Vieux,Carcassonne,"Idéalement situé au pied de la ville fortifiée de Carcassonne, l'Hotel Du Pont Vieux occupe un superbe bâtiment du XVIIIe siècle. ",8.9,Carcassonne,Carcassonne
Domaine d'Auriac - Relais & Châteaux,Carcassonne,"Doté d'une piscine extérieure ouverte en saison, d'une terrasse et d'un restaurant étoilé au guide Michelin, le Domaine d'Auriac est situé à Ca..",8.9,Carcassonne,Carcassonne
Hotel du Roi & Spa by SOWELL COLLECTION,Carcassonne,"Doté d'un bar et d'un jardin, l'Hotel du Roi & Spa by SOWELL COLLECTION est situé à Carcassonne, à 700 mètres de la Maison des Mémoires et à 1,..",8.2,Carcassonne,Carcassonne
Best Western Plus Le Donjon - Cœur de La Cité Médiévale,"Cité de Carcassonne, Carcassonne","Situé au cœur de la cité médiévale de Carcassonne, le Best Western Plus Le Donjon - Cœur de La Cité Médiévale est entouré par les anciens rempa..",8.3,Carcassonne,Carcassonne
514 Appart Hotel,Carcassonne,"Doté d'une terrasse donnant sur les montagnes, le 514 Appart Hotel vous accueille à Carcassonne, dans le Languedoc-Roussillon, à 300 mètres de ..",8.5,Carcassonne,Carcassonne
Hôtel Montmorency & Spa,Carcassonne,"Situé à 30 mètres de l'entrée de la cité médiévale de Carcassonne, l'Hôtel Montmorency propose une connexion Wi-Fi gratuite, une piscine extéri..",8.3,Carcassonne,Carcassonne
Hôtel du Château & Spa - Les Collectionneurs,Carcassonne,L'Hôtel du Château & Spa - Les Collectionneurs se situe à 30 mètres de l'entrée de la cité médiévale de Carcassonne. ,8.5,Carcassonne,Carcassonne
SOWELL HOTELS Les Chevaliers,Carcassonne,"Situé à Carcassonne, à 2 minutes à pied de l'Aude et offrant une vue sur le pont Vieux, le SOWELL HOTELS Les Chevaliers propose une connexion W..",8.2,Carcassonne,Carcassonne
ibis Styles Carcassonne La Cité,Carcassonne,L'ibis Styles Carcassonne La Cité est situé à seulement 600 mètres de la ville médiévale de Carcassonne. ,8.5,Carcassonne,Carcassonne
Hôtel l'Aragon,Carcassonne,"Situé à seulement 50 mètres du centre historique de Carcassonne dans l'Aude, l'hôtel l'Aragon propose une connexion Wi-Fi gratuite dans l'ensem..",8.4,Carcassonne,Carcassonne
Mercure Carcassonne La Cité,Carcassonne,"Offrant une vue sur les remparts de la ville, le Mercure Carcassonne La Cité est situé à seulement 4 minutes à pied du quartier médiéval de Car..",8.1,Carcassonne,Carcassonne
Hôtel De L'octroi,Carcassonne,L'Hôtel De L'octroi est installé à 200 mètres de l'entrée de la cité médiévale de Carcassonne. Il comprend des chambres modernes avec une conne..,8.3,Carcassonne,Carcassonne
"The Originals City, Hôtel Pont Rouge (ex inter-hôtel), Carcassonne",Carcassonne,"Doté d'une réception ouverte 24h/24, The Originals City, Hôtel Pont Rouge (ex inter-hôtel), Carcassonne est situé à 10 minutes en voiture de l'..",8.0,Carcassonne,Carcassonne
Hotel Montsegur,Carcassonne,"L'Hotel Montsegur occupe un manoir du XIXe siècle à Carcassonne, à 10 minutes à pied du centre-ville et à 5 minutes de marche de la cathédrale...",8.0,Carcassonne,Carcassonne
Abbaye des Capucins Spa & Resort,Montauban,"L’Abbaye des Capucins Spa & Resort vous accueille à Montauban, à 30 minutes en voiture de Toulouse. ",8.2,Montauban,Montauban
Hôtel du Commerce,Montauban,"Situé dans le centre de Montauban, l'Hôtel du Commerce propose des chambres insonorisées dans un bâtiment rénové du XVIIIe siècle avec ascenseu..",8.3,Montauban,Montauban
Château de Longpré,Varilhes,"Situé à Varilhes, le Château de Longpré possède un bar, un jardin et une terrasse. ",8.7,Varilhes,Ariege
Hôtel Terranostra,Tarascon-sur-Ariège,"Doté d'un restaurant et d'un bar, l'Hotel Terranostra vous accueille à Tarascon-sur-Ariège, au cœur des sites historiques de l'Ariège. Une conn..",8.4,Tarascon-sur-Ariège,Ariege
Le Hameau du Comté de Foix,Mercus-Garrabet,"Situé à Mercus-Garrabet, en Midi-Pyrénées, à moins de 40 km du col de la Crouzette, l'établissement Le Hameau du Comté de Foix propose des hébe..",8.7,Mercus-Garrabet,Ariege
Hôtel Les Minotiers,Mirepoix,L'Hôtel-Restaurant Les Minotiers  se trouve à distance de marche de la place médiévale de Mirepoix et à proximité de sites les plus prisés de l..,8.5,Mirepoix,Ariege
Hotel Logis - Chateau de Beauregard,Saint-Girons,"Doté d'une piscine extérieure, le Château de Beauregard se trouve à Beauregard, à seulement 1 km de Saint-Girons. ",8.5,Saint-Girons,Ariege
Le Manoir d'Agnès,Tarascon-sur-Ariège,L'établissement Le Manoir d'Agnès est situé dans le village des Pyrénées de Tarascon-sur-Ariège. ,8.6,Tarascon-sur-Ariège,Ariege
Palais Cathare,Bélesta,"Doté d'une piscine extérieure ouverte en saison, d'un restaurant et d'un sauna, le Palais Cathare est situé à Bélesta, à 73 km de Carcassonne. ",8.9,Bélesta,Ariege
gite de l'étoile,Le Bosc,"Situé au Bosc, le gite de l'étoile propose un hébergement 3 étoiles avec une terrasse. Cet hôtel 3 étoiles possède une cuisine et un salon comm..",9.2,Le Bosc,Ariege
Hôtel Pyrène,Foix,"Situé dans un jardin de 4 300 m2, cet hôtel 3 étoiles se trouve à 2 km de la gare de Foix. ",8.2,Foix,Ariege
Hôtel Le Chalet,Ax-les-Thermes,"Le Chalet est situé à proximité du centre d'Ax-les-Thermes, face aux Pyrénées. Il propose un bain à remous avec jacuzzi et des chambres avec co..",8.2,Ax-les-Thermes,Ariege
Résidence Pierre & Vacances Les Trois Domaines,Ax-les-Thermes,"Situé au cœur de la ville thermale d'Ax-les-Thermes, à proximité d'Andorre, le Résidence Pierre & Vacances Les Trois Domaines se compose de 2 b..",8.2,Ax-les-Thermes,Ariege
Domaine de la Vallée d'Ax,Ax-les-Thermes,"Installé à Ax-les-Thermes, à seulement 20 km d’Andorre, le Domaine de la Vallée d’Ax est une résidence touristique proposant des studios et des..",8.2,Ax-les-Thermes,Ariege
Hotel du Lac Foix,Foix,"Construit en 1599, l'Hotel du Lac Foix est une ancienne ferme de moutons. ",8.0,Foix,Ariege
Résidence Le Grand Tétras,Ax-les-Thermes,"Située à Ax-les-Thermes, la Résidence Le Grand Tétras propose un hébergement 3 étoiles avec balcon privé. ",8.2,Ax-les-Thermes,Ariege
Boutique Hotel SOCLO,"Centre de Toulouse, Toulouse","Situé à Toulouse, le Boutique Hotel SOCLO possède un restaurant, une piscine extérieure ouverte en saison, un bar et un salon commun. ",9.6,Toulouse,Toulouse
Residhome Toulouse Ponts Jumeaux,"Minimes - Barrière de Paris, Toulouse","Le Residhome Toulouse Ponts Jumeaux se trouve à Toulouse, dans le quartier des Minimes-Barrière de Paris, à 3,6 km du Zénith et à 3,7 km du par..",9.0,Toulouse,Toulouse
Appart Hôtel Clément Ader,"Centre de Toulouse, Toulouse","Situé dans le centre-ville de Toulouse, le Appart Hôtel Clément Ader est une résidence 4 étoiles dotée d'une piscine extérieure chauffée, d'une..",8.8,Toulouse,Toulouse
Odalys City Toulouse Centre Compans Caffarelli,"Centre de Toulouse, Toulouse","Situé à 1,8 km du Zénith de Toulouse, l'Odalys City Centre Compans Caffarelli propose un salon commun, un jardin et une réception ouverte 24h/2..",8.7,Toulouse,Toulouse
La Cour des Consuls Hotel and Spa Toulouse - MGallery,"Centre de Toulouse, Toulouse","Doté d'une terrasse, d'un spa et d'un restaurant sur place, l'établissement La Cour des Consuls Hotel and Spa Toulouse - MGallery by Sofitel es..",8.5,Toulouse,Toulouse
Le Grand Balcon Hotel,"Centre de Toulouse, Toulouse","Situé dans le centre de Toulouse, à 4 km du Stadium, Le Grand Balcon Hotel est un établissement 4 étoiles doté d'une décoration des années 1930..",8.7,Toulouse,Toulouse
Aparthotel Adagio Toulouse Centre Ramblas,"Centre de Toulouse, Toulouse","Doté d'une salle de sport, l'Aparthotel Adagio Toulouse Centre Ramblas propose des hébergements dans le centre-ville de Toulouse, à seulement q..",8.8,Toulouse,Toulouse
Mama Shelter Toulouse,"Centre de Toulouse, Toulouse","Le Mama Shelter Toulouse propose des logements à Toulouse, à 2,2 km du parc des expositons, à 2,8 km du Stadium et à 3,3 km du Zénith. ",8.6,Toulouse,Toulouse
Résidences Guerlin,"Centre de Toulouse, Toulouse","Situé à Toulouse, à 4,4 km du stade et à 5,7 km du Zénith, l'établissement Résidences Guerlin offre une vue sur le jardin et dispose d'une conn..",8.7,Toulouse,Toulouse
Ibis Styles Toulouse Capitole,"Centre de Toulouse, Toulouse","L'Ibis Styles Toulouse Capitole est situé dans le centre historique de Toulouse, sur la place du Capitole. Les chambres ont été rénovées en 201..",8.8,Toulouse,Toulouse
Villa du Taur,"Centre de Toulouse, Toulouse","L'établissement Villa du Taur se situe dans le centre-ville de Toulouse, à proximité de la place du Capitole et de la basilique Saint-Sernin. I..",8.6,Toulouse,Toulouse
Quality Hotel Toulouse Centre,"Centre de Toulouse, Toulouse","Le Quality Hotel Toulouse Centre est situé au cœur de Toulouse, à 350 mètres de la station de métro Jean Jaurès et à 8 minutes à pied de la gar..",8.7,Toulouse,Toulouse
Hôtel Une Chambre en Ville,"Centre de Toulouse, Toulouse","L'Hôtel Une Chambre en Ville bénéficie d'un emplacement privilégié dans le quartier Matabiau de Toulouse, à 4,3 km du parc des expositions de T..",8.6,Toulouse,Toulouse
Hotel Mercure Toulouse Centre Compans,"Centre de Toulouse, Toulouse","L'Hotel Mercure Toulouse Compans Caffarelli est situé dans le centre de Toulouse, à 10 minutes à pied de la place du Capitole et à seulement 20..",8.4,Toulouse,Toulouse
Pullman Toulouse Centre Ramblas,"Centre de Toulouse, Toulouse",L'hôtel 5 étoiles Pullman Toulouse Centre possède des hébergements modernes et élégants à quelques pas du centre-ville et de la place du Capito..,8.4,Toulouse,Toulouse
Grand Hotel de l'Opera - BW Premier Collection,"Centre de Toulouse, Toulouse","Cet hôtel se trouve dans le centre-ville de Toulouse, à 100 mètres de la station de métro Capitole. ",8.3,Toulouse,Toulouse
Hôtel de Brienne,"Centre de Toulouse, Toulouse","Situé à proximité du canal de Brienne, l'Hôtel de Brienne 4 étoiles est situé à côté de l'école de commerce de Toulouse, à 5 minutes à pied du ..",8.3,Toulouse,Toulouse
Hôtel des Arts,"Centre de Toulouse, Toulouse","L’Hôtel des Arts est situé dans le centre historique de Toulouse, à seulement 1 minute à pied des cafés de la place Saint-Georges et à 2,8 km d..",8.4,Toulouse,Toulouse
Odalys City Toulouse Colombélie,"Centre de Toulouse, Toulouse","Situé à Toulouse, à seulement 1 km de la célèbre place du Capitole, l'Odalys City Toulouse Colombélie propose des hébergements indépendants. ",8.3,Toulouse,Toulouse
Hôtel Le Père Léon,"Centre de Toulouse, Toulouse","L’Hôtel Le Père Léon est un établissement 3 étoiles situé dans le centre de Toulouse, juste en face de la station de métro Esquirol et à 3 km d..",8.5,Toulouse,Toulouse
Hôtel Héliot,"Centre de Toulouse, Toulouse","L'Hôtel Héliot vous accueille dans un établissement non-fumeurs situé dans une rue paisible du centre-ville de Toulouse, à 50 mètres de la stat..",8.6,Toulouse,Toulouse
Privilège Appart Hôtel Saint Exupéry,"Centre de Toulouse, Toulouse","Le Privilège Appart Hôtel Saint Exupéry vous accueille au cœur de Toulouse, à 1 km de la place du Capitole et à 300 mètres de la gare de Matabi..",8.1,Toulouse,Toulouse
Novotel Toulouse Centre Wilson,"Centre de Toulouse, Toulouse","Situé dans le centre de Toulouse, à seulement 4 km du Stadium de Toulouse, l'établissement climatisé Novotel Toulouse Centre Wilson propose un ..",8.2,Toulouse,Toulouse
Hotel Albert 1er,"Centre de Toulouse, Toulouse","Situé en plein cœur de Toulouse, l'Hotel Albert 1er vous accueille à quelques minutes de marche de la célèbre place du Capitole et d'autres att..",8.3,Toulouse,Toulouse
"Crowne Plaza Toulouse, an IHG Hotel","Centre de Toulouse, Toulouse","L’hôtel 4 étoiles Crowne Plaza Toulouse vous accueille dans le centre-ville de Toulouse, à 80 mètres du théâtre du Capitole. ",8.0,Toulouse,Toulouse
Hôtel Au Bon Coin,"Centre de Biarritz, Biarritz","Doté d’une connexion Wi-Fi gratuite dans l’ensemble des locaux, d’un bar, d’une terrasse et d’un ascenseur, l’Hôtel Au Bon Coin se trouve à Bia..",9.3,Biarritz,Biarritz
"Hôtel du Palais Biarritz, in The Unbound Collection by Hyatt",Biarritz,"L'Hôtel du Palais Biarritz, in The Unbound Collection by Hyatt est fermé en raison de travaux de rénovation. Il rouvrira ses portes le 3 juin 2..",8.9,Biarritz,Biarritz
Le Garage Biarritz Hôtel Nouvelle ouverture,Biarritz,"Situé en bord de mer à Biarritz, à 300 mètres de la plage Miramar, l'établissement Le Garage Biarritz Hôtel Nouvelle ouverture propose un bar e..",9.1,Biarritz,Biarritz
Hôtel Le Café de Paris,"Centre de Biarritz, Biarritz","L'Hôtel Le Café de Paris est situé dans le centre de Biarritz, sur la place piétonne Bellevue et à 5 minutes à pied des Halles. Toutes les cham..",8.9,Biarritz,Biarritz
Hotel de La Plage - Nouvel Etablissement,"Centre de Biarritz, Biarritz","L'Hôtel de la Plage vous accueille à Biarritz, en face de l'océan et à seulement 50 mètres de la plage du vieux-port. ",9.2,Biarritz,Biarritz
Hotel de Silhouette,"Centre de Biarritz, Biarritz","L’Hotel de Silhouette se trouve au cœur de Biarritz, à seulement 300 mètres des plages. Sa réception est ouverte 24h/24. ",8.8,Biarritz,Biarritz
Maison Garnier Hôtel de Charme Biarritz,"Centre de Biarritz, Biarritz","Situé dans le centre de Biarritz, le Maison Garnier est à 5 minutes à pied de la côte et à 5,3 km de l'aéroport de Biarritz-Anglet-Bayonne. Il ..",8.9,Biarritz,Biarritz
Hôtel PALMITO,"Centre de Biarritz, Biarritz","Situé dans la vieille ville de Biarritz, l’établissement non-fumeurs Hôtel PALMITO se trouve à seulement 100 mètres de la plage. ",8.7,Biarritz,Biarritz
Hotel Edouard VII,"Centre de Biarritz, Biarritz","Situé à 5 minutes à pied des plages de Biarritz, l'Hôtel Edouard VII occupe une résidence du XIXe siècle, alliant charme d'antan et confort d'a..",8.8,Biarritz,Biarritz
Le Regina Biarritz Hotel & Spa MGallery Hotel Collection,Biarritz,"Situé dans un édifice emblématique de la belle époque, construit en 1907, l’établissement Le Regina Biarritz Hotel & Spa MGallery Hotel Collect..",8.5,Biarritz,Biarritz
"La Casa Cosy, Appart'Hôtel","Centre de Biarritz, Biarritz","Situé dans le centre de Biarritz, à 300 mètres de la plage de la Côte des Basques et à 350 mètres de la plage des Pêcheurs, l'établissement La ..",8.8,Biarritz,Biarritz
Hotel Villa Koegui Biarritz,"Centre de Biarritz, Biarritz","L'Hotel Villa Koegui Biarritz est un établissement design situé au cœur de Biarritz, à seulement 5 minutes à pied de la plage, du marché local ..",8.5,Biarritz,Biarritz
Ama Hôtel,"Centre de Biarritz, Biarritz","Conçu par le célèbre architecte basque Raymond Larrebat-Tudor et construit au XVIIIe siècle, l’Ama Hôtel vous accueille dans une jolie résidenc..",8.7,Biarritz,Biarritz
Hotel Biarritz Atlantique - Lycée Hotelier - Management School,Biarritz,"Situé à Biarritz, à 2,9 km du rocher de la Vierge et à 2 km de la plage de Milady, l'Hotel Biarritz Atlantique occupe une école de gestion hôte..",8.6,Biarritz,Biarritz
Best Western Plus Hôtel Littéraire Jules Verne,"Centre de Biarritz, Biarritz","Le Best Western Plus Hôtel Littéraire Jules Verne est situé dans le centre-ville de Biarritz, à proximité du Palais des Festivals, du casino et..",8.5,Biarritz,Biarritz
La Maison du Lierre,"Centre de Biarritz, Biarritz","La Maison du Lierre se situe à Biarritz, à 300 mètres de la plage, ainsi qu’à 5 minutes du centre de conventions Bellevue, du casino et de la g..",8.8,Biarritz,Biarritz
Hôtel Le Windsor Biarritz,"Centre de Biarritz, Biarritz","Entièrement rénové en 2021 et respectueux de l’environnement, l'Hôtel Le Windsor Biarritz est installé côté plage, au cœur de Biarritz. ",8.4,Biarritz,Biarritz
Carlina Lodge,Biarritz,Le Carlina Lodge est une résidence hôtelière située sur le front de mer de Biarritz. ,8.5,Biarritz,Biarritz
Hôtel Cosmopolitain,"Centre de Biarritz, Biarritz",L'Hôtel Cosmopolitain est un établissement 3 étoiles qui vous propose des hébergements et des parties communes à la décoration élégante dans le..,8.3,Biarritz,Biarritz
Saint Charles Hôtel & Coliving Biarritz,Biarritz,L'Saint Charles Hôtel & Coliving Biarritz est situé à seulement 600 mètres des plages et du centre-ville de Biarritz. ,8.2,Biarritz,Biarritz
Hôtel Maïtagaria,"Centre de Biarritz, Biarritz","Le Maïtagaria est situé au cœur de la célèbre ville de surf de Biarritz, à seulement 200 mètres de la place Clémenceau animée. Il propose un hé..",8.4,Biarritz,Biarritz
Le Gamaritz,"Centre de Biarritz, Biarritz","L'établissement Le Gamaritz est situé dans le centre-ville de Biarritz, à seulement 2 minutes à pied de la plage du Port Vieux. ",8.6,Biarritz,Biarritz
Résidence Pierre & Vacances Premium Haguna,Biarritz,"L’établissement Pierre & Vacances Premium Haguna se trouve dans le centre-ville de Biarritz, à seulement 300 mètres de la plage. Cette résidenc..",8.2,Biarritz,Biarritz
Mercure Président Biarritz Plage,"Centre de Biarritz, Biarritz","Situé dans le centre de Biarritz, le Mercure Le Président Biarritz Centre est un bel exemple d'architecture contemporaine. Il propose des chamb..",8.1,Biarritz,Biarritz
Hôtel Georges VI,"Centre de Biarritz, Biarritz","L'hôtel George VI est situé à Port-Vieux à Biarritz, à 50 mètres de la plage. Il possède un patio avec un jardin et des chambres dotées d'une c..",8.2,Biarritz,Biarritz
Villa la Renaissance,Bayonne,"La Villa la Renaissance propose des chambres à Bayonne, à 600 mètres du parc Ansot et à 1,2 km de la cathédrale Sainte-Marie. Il propose un ser..",9.3,Bayonne,Bayonne
Hôtel Villa KOEGUI Bayonne,Bayonne,"Doté d’un bar, d’un restaurant, d’une terrasse, d’un salon commun et d’une salle de sport, l’Hôtel Villa KOEGUI Bayonne propose des hébergement..",9.0,Bayonne,Bayonne
Hôtel des Basses Pyrénées - Bayonne,Bayonne,"L'Hôtel des Basses Pyrénées - Bayonne est situé à Bayonne, à moins de 200 mètres de la cathédrale Sainte-Marie et à 11 minutes à pied du parc A..",8.5,Bayonne,Bayonne
Hôtel Mercure Bayonne Centre Le Grand Hotel,Bayonne,"L’Hôtel Mercure Bayonne Centre Le Grand Hotel vous accueille à 5 km des plages de la côte atlantique, dans le centre-ville de Bayonne, une vill..",8.1,Bayonne,Bayonne
Okko Hotels Bayonne Centre,Bayonne,Hébergement géré par un particulier,8.3,Bayonne,Bayonne
ibis Styles Bayonne,Bayonne,"Situé sur les rives de l'Adour et offrant une vue exceptionnelle sur la ville médiévale de Bayonne, l'ibis Styles Bayonne se trouve à quelques ..",8.1,Bayonne,Bayonne
Kyriad Anglet - Biarritz,Anglet,"Le Kyriad Anglet - Biarritz est un hôtel confortable situé à Anglet, à seulement 15 minutes en voiture de Biarritz, dans le sud-ouest de la Fra..",8.1,Anglet,Bayonne
Maison des Ambassadeurs,"Centre-ville de La Rochelle, La Rochelle","Situé au cœur de La Rochelle, dans un bâtiment datant du XVIIIe siècle, à seulement 5 minutes à pied du Vieux-Port, la Maison des Ambassadeurs ..",8.6,La Rochelle,La Rochelle
Le Champlain,"Centre-ville de La Rochelle, La Rochelle","L'hôtel Le Champlain est situé en face du parc Charruyer, au cœur de La Rochelle. Il propose des chambres spacieuses et climatisées avec télévi..",8.7,La Rochelle,La Rochelle
Best Western Premier Masqhotel,"Centre-ville de La Rochelle, La Rochelle","Le Best Western Masqhotel est un hôtel design situé à 5 minutes de marche du vieux port de La Rochelle. Il possède des chambres contemporaines,..",8.6,La Rochelle,La Rochelle
Hôtel La Monnaie Art & Spa,"Centre-ville de La Rochelle, La Rochelle","Idéalement situé dans le quartier historique de La Rochelle, l'Hôtel De La Monnaie Art & Spa est aménagé dans un édifice datant du XVIIe siècle..",8.6,La Rochelle,La Rochelle
Central Park Hôtel & Spa,La Rochelle,"Le Central Park Hôtel & Spa est un établissement 4 étoiles situé à La Rochelle, à côté du Vieux-Port, à quelques minutes à pied de la plage et ..",8.7,La Rochelle,La Rochelle
Le Manoir Hôtel,La Rochelle,"Occupant un bâtiment du XIXe siècle à La Rochelle, cet hôtel se trouve à seulement 500 mètres du centre-ville et du port. ",8.5,La Rochelle,La Rochelle
Hôtel Les Brises,La Rochelle,"Situé en bord de mer, à seulement 2 km du vieux port de La Rochelle, l’Hôtel Les Brises offre une vue panoramique sur la mer et les îles voisin..",8.5,La Rochelle,La Rochelle
Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port,"Centre-ville de La Rochelle, La Rochelle",Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port est situé au niveau du port de La Rochelle. Vous bénéficierez gratuitement d'une conne..,8.4,La Rochelle,La Rochelle
Hotel La Fabrique,"Centre-ville de La Rochelle, La Rochelle",L'Hotel La Fabrique vous accueille à La Rochelle et vous propose un bar sur place. Les chambres disposent d'une télévision à écran plat. ,8.4,La Rochelle,La Rochelle
Hôtel Saint Nicolas,"Centre-ville de La Rochelle, La Rochelle","L’Hôtel Saint Nicolas vous accueille dans le quartier animé de Saint-Nicolas, à La Rochelle, à proximité de boutiques d’antiquités, de bars et ..",8.4,La Rochelle,La Rochelle
ATHOME RESIDENCE ET SPA,La Rochelle,"Situé à La Rochelle, l'ATHOME RESIDENCE ET SPA propose une connexion Wi-Fi gratuite, un bar, un salon commun et un jardin. ",8.2,La Rochelle,La Rochelle
ibis Styles La Rochelle Centre,"Centre-ville de La Rochelle, La Rochelle","L’ibis Styles La Rochelle Centre est situé au cœur de La Rochelle, à 300 mètres de la plage de la Concurrence. ",8.3,La Rochelle,La Rochelle
Hôtel Atlantic,"Centre-ville de La Rochelle, La Rochelle","L'Atlantic Hôtel se situe dans le centre de La Rochelle, à quelques pas de la plage et du cours des Dames et à 50 mètres du vieux port. ",8.0,La Rochelle,La Rochelle
Novotel La Rochelle Centre,La Rochelle,Le Novotel La Rochelle Centre est situé à 10 minutes à pied de la vieille ville de La Rochelle. Cet établissement propose une piscine extérieur..,8.2,La Rochelle,La Rochelle
ibis La Rochelle Vieux Port,"Centre-ville de La Rochelle, La Rochelle","Situé dans le quartier du Vieux-Port, dans le centre-ville, l'ibis La Rochelle Vieux Port propose une connexion Wi-Fi gratuite dans l'ensemble ..",8.1,La Rochelle,La Rochelle
Hôtel François 1er,"Centre-ville de La Rochelle, La Rochelle","Situé dans le cœur historique de La Rochelle, l’Hôtel François 1er vous accueille dans un bâtiment datant du XVIe siècle, à seulement 5 minutes..",8.1,La Rochelle,La Rochelle
